method,seed,time_s,avg_acc,bwt,forgetting,total_bits,final_grid,params,n_classes,in_dim,T
sefedkan,0,38.2,0.22457320601851852,0.2001953125,0.0587890625,137632928.0,13,10064,11,26,136
sefedkan,1,34.8,0.24186197916666666,0.169140625,0.05234375,138845344.0,13,10064,11,26,136
sefedkan,2,33.4,0.2735460069444444,0.173046875,0.0623046875,130036448.0,13,10064,11,26,136
sefedkan,3,33.2,0.17603443287037038,0.1705078125,0.0775390625,139830400.0,13,10064,11,26,136
sefedkan,4,34.6,0.2088035300925926,0.15078125,0.0595703125,138556544.0,13,10064,11,26,136
fedkan_static,0,33.5,0.2548828125,0.2376953125,0.0435546875,203231232.0,5,5328,11,26,136
fedkan_static,1,32.5,0.2728226273148148,0.2302734375,0.04140625,200503296.0,5,5328,11,26,136
fedkan_static,2,32.4,0.2716652199074074,0.146484375,0.078125,200503296.0,5,5328,11,26,136
fedkan_static,3,31.3,0.1978443287037037,0.2001953125,0.058984375,189591552.0,5,5328,11,26,136
fedkan_static,4,32.1,0.22153501157407407,0.153125,0.0666015625,197775360.0,5,5328,11,26,136
fedkan_dual,0,35.9,0.1802662037037037,0.13984375,0.064453125,84273440.0,13,10064,11,26,136
fedkan_dual,1,34.1,0.1974826388888889,0.1275390625,0.083984375,85151936.0,13,10064,11,26,136
fedkan_dual,2,34.5,0.1685474537037037,0.101953125,0.048046875,87018304.0,13,10064,11,26,136
fedkan_dual,3,32.0,0.13429542824074073,0.1275390625,0.08359375,85879904.0,13,10064,11,26,136
fedkan_dual,4,32.6,0.18663194444444445,0.1359375,0.0546875,91052448.0,13,10064,11,26,136
fedkan_no_pseudo,0,31.4,0.2367621527777778,0.2103515625,0.0486328125,146972288.0,13,10064,11,26,136
fedkan_no_pseudo,1,30.9,0.2643229166666667,0.20625,0.0294921875,130552672.0,13,10064,11,26,136
fedkan_no_pseudo,2,33.1,0.28273292824074076,0.1765625,0.06875,123917504.0,13,10064,11,26,136
fedkan_no_pseudo,3,30.9,0.1912254050925926,0.2052734375,0.0595703125,131215744.0,13,10064,11,26,136
fedkan_no_pseudo,4,35.0,0.2146267361111111,0.1625,0.0537109375,135899616.0,13,10064,11,26,136
fedkan_no_evolve,0,36.0,0.22511574074074073,0.204296875,0.060546875,77916704.0,5,5328,11,26,136
fedkan_no_evolve,1,32.9,0.23466435185185186,0.164453125,0.064453125,79834816.0,5,5328,11,26,136
fedkan_no_evolve,2,32.4,0.2826244212962963,0.21328125,0.0365234375,83500448.0,5,5328,11,26,136
fedkan_no_evolve,3,31.3,0.17708333333333334,0.20078125,0.0498046875,70500096.0,5,5328,11,26,136
fedkan_no_evolve,4,33.4,0.16710069444444445,0.1080078125,0.0830078125,72546080.0,5,5328,11,26,136
fedavg_mlp,0,14.9,0.24905960648148148,0.193359375,0.0646484375,203345664.0,0,5331,11,26,136
fedavg_mlp,1,14.3,0.2820457175925926,0.1662109375,0.09296875,200616192.0,0,5331,11,26,136
fedavg_mlp,2,14.0,0.2823350694444444,0.1615234375,0.1048828125,200616192.0,0,5331,11,26,136
fedavg_mlp,3,13.6,0.20345052083333334,0.1556640625,0.09140625,189698304.0,0,5331,11,26,136
fedavg_mlp,4,13.8,0.22887731481481483,0.152734375,0.09609375,197886720.0,0,5331,11,26,136
fedprox_mlp,0,16.4,0.2501085069444444,0.1916015625,0.06484375,203345664.0,0,5331,11,26,136
fedprox_mlp,1,16.3,0.2839988425925926,0.1748046875,0.0841796875,200616192.0,0,5331,11,26,136
fedprox_mlp,2,16.4,0.28370949074074076,0.16875,0.097265625,200616192.0,0,5331,11,26,136
fedprox_mlp,3,16.1,0.2038845486111111,0.1548828125,0.0921875,189698304.0,0,5331,11,26,136
fedprox_mlp,4,16.4,0.2289496527777778,0.15390625,0.0951171875,197886720.0,0,5331,11,26,136
