method,seed,time_s,avg_acc,final_acc_all,bwt,forgetting,detection_delay,total_bits,final_grid,params,n_classes,in_dim,T
sefedkan,0,53.3,0.18033854166666666,0.26171875,0.148828125,0.0833984375,nan,284581824.0,9,22360,11,256,136
sefedkan,1,50.3,0.20305266203703703,0.2109375,0.1533203125,0.050390625,nan,356763936.0,9,22360,11,256,136
sefedkan,2,50.0,0.20012297453703703,0.2265625,0.1416015625,0.1115234375,nan,353955872.0,9,22360,11,256,136
sefedkan,3,47.9,0.1597222222222222,0.31640625,0.2390625,0.033203125,nan,377270720.0,9,22360,11,256,136
sefedkan,4,49.7,0.1498119212962963,0.234375,0.1517578125,0.0931640625,nan,289488000.0,9,22360,11,256,136
fedkan_static,0,51.8,0.2035590277777778,0.36328125,0.2232421875,0.0201171875,nan,767457280.0,5,20120,11,256,136
fedkan_static,1,48.9,0.21940104166666666,0.23046875,0.13828125,0.046484375,nan,757155840.0,5,20120,11,256,136
fedkan_static,2,51.5,0.20359519675925927,0.2109375,0.126953125,0.115625,nan,757155840.0,5,20120,11,256,136
fedkan_static,3,49.3,0.16984953703703703,0.27734375,0.224609375,0.0416015625,nan,715950080.0,5,20120,11,256,136
fedkan_static,4,52.8,0.1726707175925926,0.25390625,0.1853515625,0.0712890625,nan,746854400.0,5,20120,11,256,136
fedkan_dual,0,53.6,0.1488353587962963,0.2578125,0.160546875,0.06015625,nan,214342208.0,9,22360,11,256,136
fedkan_dual,1,54.0,0.1615306712962963,0.1640625,0.087890625,0.0599609375,nan,209984736.0,9,22360,11,256,136
fedkan_dual,2,50.9,0.16829427083333334,0.19140625,0.117578125,0.1,nan,209779200.0,9,22360,11,256,136
fedkan_dual,3,46.7,0.1274956597222222,0.25390625,0.1775390625,0.0453125,nan,199414400.0,9,22360,11,256,136
fedkan_dual,4,49.4,0.13928674768518517,0.203125,0.11484375,0.08828125,nan,208000640.0,9,22360,11,256,136
fedkan_no_pseudo,0,47.3,0.17726417824074073,0.27734375,0.1666015625,0.0638671875,nan,284581824.0,9,22360,11,256,136
fedkan_no_pseudo,1,47.4,0.19249131944444445,0.234375,0.141796875,0.0521484375,nan,355511744.0,9,22360,11,256,136
fedkan_no_pseudo,2,46.8,0.18970630787037038,0.1875,0.0994140625,0.153515625,nan,345011840.0,9,22360,11,256,136
fedkan_no_pseudo,3,44.6,0.1650390625,0.3046875,0.2369140625,0.0298828125,nan,378165184.0,9,22360,11,256,136
fedkan_no_pseudo,4,46.5,0.1449652777777778,0.203125,0.1392578125,0.101953125,nan,289488000.0,9,22360,11,256,136
fedkan_no_evolve,0,51.1,0.1783130787037037,0.27734375,0.1595703125,0.0619140625,nan,266710720.0,5,20120,11,256,136
fedkan_no_evolve,1,49.8,0.17317708333333334,0.14453125,0.101953125,0.0701171875,nan,274597888.0,5,20120,11,256,136
fedkan_no_evolve,2,49.4,0.17570891203703703,0.19140625,0.1125,0.127734375,nan,291337632.0,5,20120,11,256,136
fedkan_no_evolve,3,47.0,0.15512876157407407,0.25390625,0.2107421875,0.0478515625,nan,320632352.0,5,20120,11,256,136
fedkan_no_evolve,4,49.4,0.13122106481481483,0.1875,0.1265625,0.0658203125,nan,260272352.0,5,20120,11,256,136
fedavg_mlp,0,22.0,0.19075520833333334,0.34375,0.2298828125,0.0568359375,nan,767876864.0,0,20131,11,256,136
fedavg_mlp,1,24.4,0.19187644675925927,0.13671875,0.0564453125,0.162890625,nan,757569792.0,0,20131,11,256,136
fedavg_mlp,2,23.7,0.21336082175925927,0.1484375,0.0578125,0.15625,nan,757569792.0,0,20131,11,256,136
fedavg_mlp,3,20.9,0.15259693287037038,0.30078125,0.230859375,0.0607421875,nan,716341504.0,0,20131,11,256,136
fedavg_mlp,4,22.2,0.1560329861111111,0.22265625,0.1412109375,0.1119140625,nan,747262720.0,0,20131,11,256,136
fedprox_mlp,0,27.4,0.1968315972222222,0.33203125,0.2087890625,0.0826171875,nan,767876864.0,0,20131,11,256,136
fedprox_mlp,1,27.9,0.21712239583333334,0.28125,0.1962890625,0.058203125,nan,757569792.0,0,20131,11,256,136
fedprox_mlp,2,27.5,0.2216796875,0.22265625,0.101953125,0.110546875,nan,757569792.0,0,20131,11,256,136
fedprox_mlp,3,28.6,0.15559895833333334,0.33203125,0.2298828125,0.05546875,nan,716341504.0,0,20131,11,256,136
fedprox_mlp,4,28.3,0.16442418981481483,0.23046875,0.1478515625,0.1125,nan,747262720.0,0,20131,11,256,136
